"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.379151891E0,-8.544325829E-5,-5.052186549E-3,9.994506836E-4,5.150804902E-3
1.383881787E0,-7.234275341E-3,-7.372513413E-3,2.473354340E-2,2.680367256E-2
1.388611682E0,2.377671003E-2,-4.982151091E-3,3.639507294E-2,4.375791475E-2
1.393341526E0,9.363800287E-3,-2.163259685E-2,1.947116852E-2,3.057411333E-2
1.398071422E0,2.350357175E-2,-2.624585479E-2,-6.807327271E-3,3.588317828E-2
1.402801266E0,1.970171928E-3,-2.604389191E-2,-6.752014160E-3,2.697694531E-2
1.407531162E0,6.703376770E-3,-1.631854475E-2,-2.568912506E-2,3.116346112E-2
1.412261057E0,1.368594170E-2,-4.328563809E-3,-3.022098541E-2,3.345667981E-2
1.416990953E0,8.796751499E-3,-2.327320725E-2,1.039028168E-2,2.696262164E-2
1.421720797E0,-7.711946964E-4,-2.781434357E-2,2.454948425E-2,3.710673290E-2
1.426450693E0,1.582860947E-3,-2.759779990E-2,7.726669312E-3,2.870270765E-2
1.431180537E0,1.657038927E-3,-2.500891685E-2,2.190494537E-2,3.328690932E-2
1.435910432E0,-7.795065641E-3,-3.193969280E-2,5.101203918E-3,3.327054712E-2
1.440640276E0,-1.250523329E-2,-2.691277117E-2,3.108978271E-4,2.967784980E-2
